streak,consistency,goal,engagement,action
21,86,fitness,high,train_hard
15,87,fitness,high,cardio
6,92,muscle,high,train_hard
24,82,fitness,high,train_hard
12,21,fatloss,high,rest
3,21,muscle,medium,train_light
18,75,muscle,high,train_hard
28,87,fatloss,high,cardio
8,80,fatloss,high,train_hard
5,99,fitness,high,train_hard
10,89,fitness,high,cardio
22,5,fatloss,high,walk
26,94,fatloss,high,train_hard
29,39,fatloss,high,rest
21,3,fatloss,high,rest
0,24,fatloss,low,mobility
18,26,muscle,high,mobility
23,37,fitness,high,walk
10,71,fitness,high,train_hard
23,58,fatloss,high,rest
21,53,fitness,high,mobility
15,69,muscle,high,walk
2,28,muscle,medium,cardio
18,43,muscle,high,walk
15,95,muscle,high,train_hard
19,67,muscle,high,mobility
17,25,muscle,high,walk
24,23,fatloss,high,rest
27,9,fitness,high,rest
3,38,muscle,medium,cardio
2,38,fatloss,medium,cardio
2,88,fatloss,medium,train_light
24,62,muscle,high,walk
7,91,fatloss,high,train_hard
23,67,fitness,high,mobility
24,7,fatloss,high,walk
15,7,fatloss,high,walk
13,98,fitness,high,train_hard
12,66,fatloss,high,mobility
7,51,fatloss,high,walk
1,62,fitness,low,mobility
17,69,fatloss,high,walk
5,69,muscle,high,rest
1,34,muscle,low,mobility
8,75,muscle,high,train_hard
9,72,muscle,high,train_hard
11,88,fatloss,high,cardio
29,71,muscle,high,cardio
14,4,fitness,high,mobility
0,62,muscle,low,walk
17,52,fatloss,high,walk
13,88,muscle,high,train_hard
24,0,muscle,high,rest
7,48,fatloss,high,walk
8,2,fatloss,high,walk
4,57,fitness,medium,cardio
0,4,muscle,low,mobility
13,39,fitness,high,rest
30,87,fatloss,high,train_hard
28,65,fatloss,high,walk
16,24,fitness,high,walk
2,100,fitness,medium,walk
22,52,fatloss,high,walk
14,67,muscle,high,mobility
23,70,fitness,high,walk
26,77,fitness,high,train_hard
9,19,fitness,high,walk
24,20,fatloss,high,walk
2,70,fitness,medium,walk
19,15,fitness,high,mobility
6,16,fitness,high,walk
25,39,fatloss,high,rest
20,8,fatloss,high,walk
27,43,fatloss,high,walk
21,15,fatloss,high,rest
15,55,fitness,high,rest
30,71,fatloss,high,cardio
